max_depth,learning_rate,n_estimators,log_loss,auc,accuracy,bucket_1_5_games,bucket_1_5_log_loss,bucket_1_5_accuracy,bucket_6_10_games,bucket_6_10_log_loss,bucket_6_10_accuracy,bucket_11_20_games,bucket_11_20_log_loss,bucket_11_20_accuracy,bucket_21plus_games,bucket_21plus_log_loss,bucket_21plus_accuracy
3,0.04,397,0.5307255871855384,0.8057815729484307,0.723499552105106,1374,0.4407583812285067,0.7787481804949054,1487,0.5336509897156212,0.7175521183591123,3047,0.5260425353588682,0.7321956022317033,4139,0.5629879999274068,0.7008939357332689
3,0.025,635,0.5307457060854477,0.8057395864326212,0.7222056335224445,1374,0.44013043660307594,0.7809315866084425,1487,0.5343698437999133,0.7088096839273705,3047,0.525947213886686,0.732523793895635,4139,0.5630572048090512,0.6999275187243296
3,0.03,536,0.5307850795060065,0.8056638759668788,0.7203145217477854,1374,0.4393377382241357,0.7794759825327511,1487,0.5351780187870284,0.7081371889710827,3047,0.5259246235476953,0.7302264522481129,4139,0.563142208163988,0.697753080454216
3,0.02,770,0.5308044512079956,0.8057259541896401,0.7202149895491191,1374,0.44063071140206866,0.7802037845705968,1487,0.534672659870255,0.7074646940147948,3047,0.5257889534305231,0.7308828355759763,4139,0.5630414441871021,0.6970282676975115
3,0.015,1096,0.5308706184802682,0.8056261098983875,0.720911714939783,1374,0.4396026113485083,0.7780203784570596,1487,0.5348039487630464,0.7074646940147948,3047,0.5260817847949057,0.732523793895635,4139,0.5632806102434591,0.6982362889586857
3,0.01,1380,0.5310098680672026,0.8056570796596948,0.7202149895491191,1374,0.4410277226196756,0.7809315866084425,1487,0.5340272336184309,0.7074646940147948,3047,0.5263150014385376,0.7305546439120446,4139,0.5632528987238269,0.6970282676975115
2,0.04,742,0.5310449266457034,0.8055735029142088,0.7213098437344481,1374,0.439831206547708,0.7736535662299855,1487,0.5360098676136056,0.7114996637525218,3047,0.5261054795200726,0.7279291106005907,4139,0.5631771517211253,0.7025851654989128
2,0.05,542,0.531120160833257,0.80550559928529,0.7210112471384493,1374,0.440485607796733,0.7729257641921398,1487,0.5360583288194475,0.7074646940147948,3047,0.525958518501478,0.7295700689202494,4139,0.5632333147983811,0.702343561246678
2,0.025,1156,0.5311269509585351,0.8054994370359192,0.7208121827411168,1374,0.44047709088201087,0.7751091703056768,1487,0.5359959173523782,0.7101546738399462,3047,0.5261935208371182,0.728913685592386,4139,0.5631020454976646,0.7006523314810341
2,0.035,769,0.5311520093111834,0.8054406678023699,0.7197173285557878,1374,0.44034829958104554,0.7714701601164483,1487,0.5355888630050816,0.7081371889710827,3047,0.5261303975962165,0.7269445356087956,4139,0.5633983361103833,0.7013771442377386
2,0.02,1437,0.5311537224147246,0.8055010221804519,0.7207126505424505,1374,0.4406282821264231,0.7736535662299855,1487,0.5359675176498303,0.7088096839273705,3047,0.5262297871341279,0.7295700689202494,4139,0.5631003453288349,0.7008939357332689
2,0.03,916,0.5312083633380834,0.805446869680354,0.7203145217477854,1374,0.44085452094538913,0.772197962154294,1487,0.5359780512831138,0.7094821788836584,3047,0.5262066591410238,0.7282573022645225,4139,0.5631711191152619,0.7011355399855037
2,0.015,1675,0.5312261882107485,0.8054791075572876,0.7193191997611227,1374,0.4418520188967382,0.7700145560407569,1487,0.5358165727394032,0.7081371889710827,3047,0.5262786403170185,0.728913685592386,4139,0.5628882769460798,0.6994443102198599
2,0.01,2233,0.5314275198949371,0.8053839196280996,0.7203145217477854,1374,0.4424073480085926,0.7707423580786026,1487,0.5357678571976225,0.7101546738399462,3047,0.5263150540433074,0.7292418772563177,4139,0.5631833348388027,0.7006523314810341
